B.Code,A.Level.Name,ED.Mean.T,Out.Unit.Amount,Out.Unit.Time,Out.Unit.Animals,flag
JO1044,Feed 4,0.0624,kg,day,individual,too_low_kg
JO1057,T1 NP,0,kg,day,individual,too_low_kg
JO1064,CFM BH,0.07266,kg,day,individual,too_low_kg
JO1064,CFM SBHtv BH,0.0717,kg,day,individual,too_low_kg
JO1064,CFM SBP BH,0.06606000000000001,kg,day,individual,too_low_kg
JO1064,CFM SBP BH,0.0991,kg,day,individual,too_low_kg
JO1064,CFM SBPcc BH,0.07087,kg,day,individual,too_low_kg
JO1064,CFM SBPsc BH,0.07299,kg,day,individual,too_low_kg
JO1068,Control,0.044649999999999995,kg,day,individual,too_low_kg
JO1068,Diet 2,0.0415,kg,day,individual,too_low_kg
JO1068,Diet 3,0.038149999999999996,kg,day,individual,too_low_kg
JO1068,Diet 4,0.0362,kg,day,individual,too_low_kg
JO1069,0 Inclusion,0.09142,kg,day,individual,too_low_kg
JO1069,5 inclusion,0.08871,kg,day,individual,too_low_kg
JO1070,MOLM 0,0.0132,kg,day,individual,too_low_kg
JO1070,MOLM 70,0.0136,kg,day,individual,too_low_kg
JO1071,Treatment 1,0.01808,kg,day,individual,too_low_kg
JO1071,Treatment 2,0.01795,kg,day,individual,too_low_kg
JO1071,Treatment 3,0.018420000000000002,kg,day,individual,too_low_kg
JO1071,Treatment 4,0.018690000000000002,kg,day,individual,too_low_kg
JO1074,URS AL Lambs,0.07690000000000001,kg,day,individual,too_low_kg
JO1074,URS FE Lambs,0.066,kg,day,individual,too_low_kg
JO1074,URS MO Lambs,0.09040000000000001,kg,day,individual,too_low_kg
JO1074,URS SM Lambs,0.09240000000000001,kg,day,individual,too_low_kg
JO1075,100g Diet 1,0.031190000000000002,kg,day,individual,too_low_kg
JO1075,25g Diet 1,0.03246,kg,day,individual,too_low_kg
JO1075,30g Diet 1,0.032799999999999996,kg,day,individual,too_low_kg
JO1075,75g Diet 1,0.03286,kg,day,individual,too_low_kg
JO1075,Control 1,0.03459,kg,day,individual,too_low_kg
JO1077,Diet 1,0.08351,kg,day,individual,too_low_kg
JO1077,Diet 2,0.08892,kg,day,individual,too_low_kg
JO1077,Diet 3,0.08399,kg,day,individual,too_low_kg
JO1077,Diet 4,0.08891,kg,day,individual,too_low_kg
JO1077,Diet 5,0.07662000000000001,kg,day,individual,too_low_kg
JO1077,Diet 6,0.07372,kg,day,individual,too_low_kg
JO1078,Control,0.06025,kg,day,individual,too_low_kg
JO1078,Mistletoe,0.05925,kg,day,individual,too_low_kg
JO1078,Moringa,0.060020000000000004,kg,day,individual,too_low_kg
JO1078,Phyllanthus,0.0595,kg,day,individual,too_low_kg
JS0047,SCB Bundle1,0.06670000000000001,kg,day,individual,too_low_kg
JS0047,SCB Con Bundle2,0.06670000000000001,kg,day,individual,too_low_kg
JS0047,SFM Bundle1,0.052899999999999996,kg,day,individual,too_low_kg
JS0047,SFM Bundle2,0.052899999999999996,kg,day,individual,too_low_kg
JS0048,P.L leaves,0.069,kg,day,individual,too_low_kg
JS0048,P.L pods,0.09,kg,day,individual,too_low_kg
JS0076,BFM1,0.072,kg,day,individual,too_low_kg
JS0076,BFM2,0.0716363636363636,kg,day,individual,too_low_kg
JS0076,BFM3,0.06909090909090909,kg,day,individual,too_low_kg
JS0076,Diet Con,0.0734545454545455,kg,day,individual,too_low_kg
JS0079.1,Con,0.09,kg,day,individual,too_low_kg
JS0079.1,SDBM1,0.096,kg,day,individual,too_low_kg
JS0079.1,SDBM2,0.088,kg,day,individual,too_low_kg
