,D.Item,GE,Ash,CP,EE,NDF
197,pleurotus ostreatus,NA,NA,NA,NA,NA
198,pollard,NA,NA,NA,NA,NA
199,polyalthia longifolia leaves dried,NA,NA,NA,NA,NA
200,poultry feed,NA,NA,NA,NA,NA
201,propionibacterium freudenreinchi,NA,NA,NA,NA,NA
202,prosopis juliflora pods dried fermented ground,19.2,34,43,6,NA
203,prosopis juliflora pods dried ground,19.2,34,43,6,NA
204,protected fat,NA,NA,NA,NA,NA
205,pterocarpus erinaceus leaves and twigs,NA,NA,NA,NA,NA
206,pulse hulm,NA,NA,NA,NA,NA
207,quercus ilex,NA,NA,70,NA,288
208,rangeland hay dried,NA,NA,NA,NA,NA
209,rice husk ensiled,NA,NA,NA,NA,NA
210,rice milling waste,NA,NA,NA,NA,NA
211,rice offal dried inoculated,17.1,142,171,10,326
212,rice straw dried fermented ground inoculated,NA,NA,NA,NA,NA
213,rosemary residues dried ground,NA,NA,NA,NA,NA
214,rye offal,18.5,52,169,23,290
215,saccharomyces cerevisiae,NA,79.9,422.8,2,NA
216,saccharomyces cerevisiae dried,NA,14,304,NA,NA
217,samanea saman dried ground,NA,NA,NA,NA,NA
218,sclerocarya birrea seed cake ground,NA,NA,NA,NA,NA
219,sesbania dried,NA,NA,309.2592827,NA,350.7130802
220,sesbania goetzei dried,NA,118,204,NA,223
221,sesbania sesban,NA,106,199,NA,289
222,sesbania sesban ensiled,NA,NA,NA,NA,NA
223,sesbania sesban leaves and twigs,18.3,97,244,34,271
224,sesbania sesban leaves dried ground,NA,106,195.3,NA,289
225,sheep meal,NA,NA,NA,NA,NA
226,siam weed leaves ground,NA,92.9,205.2,61,NA
227,sorghum brewers grain dried refermented,NA,NA,441,NA,NA
228,sorghum sprout,18.5,79,272,28,NA
229,sorghum straw crushed,NA,NA,NA,NA,NA
230,sorghum straw crushed dried fermented,NA,NA,NA,NA,NA
231,sorghum straw dried ground,NA,NA,NA,NA,NA
232,soybean cheese waste crushed ensiled,NA,NA,NA,NA,NA
233,soybean flakes defatted extruded,NA,NA,458,NA,NA
234,soybean hull extruded ground,NA,NA,NA,NA,NA
235,soybean pulp,NA,NA,NA,NA,NA
236,soybean straw baker's yeast treament dried molasses treated urea treated,NA,141.9,81.1,22.2,NA
237,starch,NA,NA,NA,NA,NA
238,sugar beet leaves ensiled wilted,15.6,224,167,45,NA
239,sugarcane peel dried ground,NA,NA,NA,NA,NA
240,sweet basil by product,17.0104,142.7,96.5,20.7,NA
241,tamarind wilted,NA,59.75,119.5,24.45,NA
242,taro leaves boiled dried,NA,91,311.5,NA,NA
243,tectona grandis leaves wilted,NA,52.5,96.4,23.5,NA
244,tectona grandis wilted,NA,60,98.5,29,NA
245,tela,NA,NA,NA,NA,NA
246,tithonia diversifolia ensiled wilted,NA,NA,NA,NA,NA
247,tomato waste dried,NA,NA,233,NA,NA
248,trout ensiled,NA,NA,NA,NA,NA
249,tuna ground,NA,273.3,452.5,NA,NA
250,typha domingensis ensiled wilted,NA,NA,NA,NA,NA
251,ulva rigida dried ground,14.7,230,186,12,262
252,unspecified forage,NA,NA,NA,NA,NA
253,unspecified grass urea treated,NA,NA,NA,NA,NA
254,unspecified grass urea treated dried,NA,86,91,NA,NA
255,unspecified molasses ground,NA,NA,NA,NA,NA
256,unspecified straw ground,NA,NA,NA,NA,NA
257,untreated organic waste dried fermented ground,NA,NA,NA,NA,NA
258,untreated organic waste ground,NA,NA,NA,NA,NA
259,urochloa hybrid mulato ii dried,NA,NA,NA,NA,NA
260,vachellia erioloba,NA,NA,NA,NA,NA
261,vachellia polyacantha,NA,NA,NA,NA,NA
262,vachellia polyacantha leaves ground,NA,NA,NA,NA,NA
263,velvet bean ground,NA,62.5,309.5,63,NA
264,velvet bean seeds boiled decorticated dried ground soaked,NA,NA,NA,NA,NA
265,vernonia amygdalina dried ground,NA,NA,NA,NA,NA
266,vernonia amygdalina ground,NA,NA,NA,NA,NA
267,vernonia amygdalina wilted,NA,126.08,225.05,28.61,221
268,viscum album dried ground,NA,NA,NA,NA,NA
269,vitex doniana ground wilted,NA,71,171.6,17,NA
270,walnut leaves dried ethanol treated ground,NA,NA,NA,NA,NA
271,water hyacinth dried fermented ground,NA,282.3333333,187,NA,NA
272,watermelon vine dried,NA,NA,NA,NA,NA
273,wheat straw ensiled,NA,NA,NA,NA,NA
274,wheat straw ensiled fermented,NA,NA,NA,NA,NA
275,whole milk,NA,NA,NA,NA,NA
276,winged bean autoclaved ground,18.7,46,428,NA,NA
277,winged bean ground,19.8,48,439,NA,NA
278,winged bean ground roasted,19.3,39,414,NA,NA
279,wood charcoal,NA,NA,NA,NA,NA
280,zinc,NA,NA,NA,NA,NA
