"","B.Code","A.Level.Name","D.Item","D.Type","D.Amount","D.Unit.Amount","Percentage_of_Diet"
"220","BO1003","C50","Bracharia Dried","Forage Plants",23.92278,"g",4.9
"221","BO1003","C50","Cynodon Dried","Forage Plants",156.71862,"g",32.1
"222","BO1003","C50","Opuntia ficus indica Cladode Crushed","Forage Plants",248.9922,"g",51
"223","BO1003","C50","Urea","Supplement",9.7644,"g",2
"224","BO1003","C75","Urea","Supplement",11.3078,"g",2.5
"225","BO1003","C75","Bracharia Dried","Forage Plants",6.78468,"g",1.5
"226","BO1003","C75","Cynodon Dried","Forage Plants",42.96964,"g",9.5
"227","BO1003","C75","Opuntia ficus indica Cladode Crushed","Forage Plants",346.01868,"g",76.5
"228","BO1004","Treatment 2","Noug Seed Cake","Crop Byproduct",706.9,"g",98.0579830767097
"229","BO1004","Treatment 2","Natural Pasture Dried","Forage Plants",390.2,"g",54.1267859619919
"230","BO1004","Treatment 2","Sesbania sesban Leaves Dried Ground","Forage Plants",316,"g",43.8340962685532
"231","BO1004","Treatment 3","Noug Seed Cake","Crop Byproduct",624,"g",101.612115290669
"232","BO1004","Treatment 3","Natural Pasture Dried","Forage Plants",240.9,"g",39.228138739619
"233","BO1005","OSCM","Maize Ground","Crop Product",233.55,"g",27
"234","BO1005","OSCM","Sunflower Seed Cake Ground","Crop Byproduct",95.15,"g",11
"235","BO1005","OSCM","Eragrostis curvula","Forage Plants",259.5,"g",30
"236","BO1005","OSCM","Cotton Seed Cake Ground","Crop Byproduct",95.15,"g",11
"237","BO1005","OSCM","Soybean Full Fat Ground","Crop Product",34.6,"g",4
"238","BO1005","TMRL","Maize Ground","Crop Product",194.7,"g",22
"239","BO1005","TMRL","Cotton Seed Cake Ground","Crop Byproduct",79.65,"g",9
"240","BO1005","TMRL","Leucaena leucocephala Dried Ground","Forage Plants",221.25,"g",25
"241","BO1005","TMRL","Eragrostis curvula","Forage Plants",159.3,"g",18
"242","BO1005","TMRL","Sunflower Seed Cake Ground","Crop Byproduct",79.65,"g",9
"243","BO1006","Ration 1","Sugarcane Molasses","Crop Byproduct",17.447058,"g",1.509
"244","BO1006","Ration 1","Maize Stover Ensiled","Crop Byproduct",327.158352,"g",28.296
"245","BO1006","Ration 1","Urea","Supplement",2.289276,"g",0.198
"246","BO1006","Ration 2","Urea","Supplement",1.317492,"g",0.099
"247","BO1006","Ration 2","Sugarcane Molasses","Crop Byproduct",10.040886,"g",0.7545
"248","BO1006","Ration 2","Opuntia ficus indica Cladode Ensiled","Forage Plants",150.61329,"g",11.3175
"249","BO1006","Ration 2","Maize Stover Ensiled","Crop Byproduct",188.281584,"g",14.148
"250","BO1006","Ration 3","Opuntia ficus indica Cladode Ensiled","Forage Plants",249.1321275,"g",22.635
"251","BO1006","Ration 3","Sugarcane Molasses","Crop Byproduct",16.6088085,"g",1.509
"252","BO1006","Ration 3","Maize Stover Ensiled","Crop Byproduct",62.274777,"g",5.658
"253","BO1006","Ration 3","Urea","Supplement",2.179287,"g",0.198
"254","BO1007","HAK10","Acacia karroo Leaves Dried","Forage Plants",26.4,"g",10
"255","BO1007","HAK10","Oat Dried","Crop Product",237.6,"g",90
"256","BO1007","HAK15","Acacia karroo Leaves Dried","Forage Plants",50.55,"g",15
"257","BO1007","HAK15","Oat Dried","Crop Product",286.45,"g",85
"258","BO1007","HAK20","Oat Dried","Crop Product",296,"g",80
"259","BO1007","HAK20","Acacia karroo Leaves Dried","Forage Plants",74,"g",20
"260","BO1007","HAK30","Acacia karroo Leaves Dried","Forage Plants",86.4,"g",30
"261","BO1007","HAK30","Oat Dried","Crop Product",201.6,"g",70
"262","BO1008","Control","Unspecified Molasses","Crop Byproduct",10.2,"g",1.5
"263","BO1008","Control","Trifolium alexandrinum Dried","Forage Plants",900,"g",132.352941176471
"264","BO1008","Control","Maize","Crop Product",91.8,"g",13.5
"265","BO1008","Control","Wheat Bran","Crop Byproduct",102,"g",15
"266","BO1008","Control","Salt","Other Ingredients",3.4,"g",0.5
"267","BO1008","Control","Linseed Cake Ground","Crop Byproduct",17,"g",2.5
"268","BO1008","Control","Cotton Seed Cake","Crop Byproduct",108.8,"g",16
"269","BO1008","Control","Lime","Supplement",6.8,"g",1
"270","BO1008","G1","Unspecified Molasses","Crop Byproduct",10.5,"g",1.5
"271","BO1008","G1","Cotton Seed Cake","Crop Byproduct",112,"g",16
"272","BO1008","G1","Lime","Supplement",7,"g",1
"273","BO1008","G1","Linseed Cake Ground","Crop Byproduct",17.5,"g",2.5
"274","BO1008","G1","Salt","Other Ingredients",3.5,"g",0.5
