"","scope","B.Code","D.Item","CP","NDF","Ash","EE","GE","M7_Category"
"1138","diet","NN0272.1.2","control",NA,NA,NA,NA,NA,NA
"1139","diet","NN0272.1.2","sep + spv",NA,NA,NA,NA,NA,NA
"1140","diet","NN0272.1.2","sepd",NA,NA,NA,NA,NA,NA
"1141","diet","NN0272.1.2","spvd",NA,NA,NA,NA,NA,NA
"1142","diet","NN0272.2","con",NA,NA,NA,NA,NA,NA
"1143","diet","NN0272.2","t2 mixed",NA,NA,NA,NA,NA,NA
"1144","diet","NN0272.2","t3 spv",NA,NA,NA,NA,NA,NA
"1145","diet","NN0272.2","t4 solanum",NA,NA,NA,NA,NA,NA
"1146","diet","NN0322","con maize",NA,NA,NA,NA,NA,NA
"1147","diet","NN0322","crm and pkc (1:1)",NA,NA,NA,NA,NA,NA
"1148","diet","NN0322","fcp mix 100",NA,NA,NA,NA,NA,NA
"1149","diet","NN0322","fcp mix 25",NA,NA,NA,NA,NA,NA
"1150","diet","NN0322","fcp mix 50",NA,NA,NA,NA,NA,NA
"1151","diet","NN0322","fcp mix 75",NA,NA,NA,NA,NA,NA
"1152","diet","NN0345","t1 pasture hay",NA,NA,NA,NA,NA,NA
"1153","diet","NN0345","t2 ag",NA,NA,NA,NA,NA,NA
"1154","diet","NN0345","t3 peg",NA,NA,NA,NA,NA,NA
"1155","diet","NN0366","flaxsoy treatment diet",NA,NA,NA,NA,NA,NA
"1156","diet","NN0375","t3 feed addition",NA,NA,NA,NA,NA,NA
"1157","diet","NN0375","t3 feed substitution",NA,NA,NA,NA,NA,NA
"1158","diet","NN0375","t4 feed addition",NA,NA,NA,NA,NA,NA
"1159","diet","NN0375","t4 feed substitution",NA,NA,NA,NA,NA,NA
"1160","diet","NN0375","t5 feed addition",NA,NA,NA,NA,NA,NA
"1161","diet","NN0375","t5 feed substitution",NA,NA,NA,NA,NA,NA
"1162","diet","NN0384","8% inclusion",NA,NA,NA,NA,NA,NA
"1163","diet","NN0396","0% sorghum",NA,NA,NA,NA,NA,NA
"1164","diet","NN0396","100% sorghum",NA,NA,NA,NA,NA,NA
"1165","diet","NN0396","25% sorghum",NA,NA,NA,NA,NA,NA
"1166","diet","NN0396","50% sorghum",NA,NA,NA,NA,NA,NA
"1167","diet","NN0396","75% sorghum",NA,NA,NA,NA,NA,NA
