"","scope","B.Code","D.Item","CP","NDF","Ash","EE","GE","M7_Category"
"310","diet","JS0423","d7 0.7% phosphorus",400,NA,41.3,NA,NA,NA
"311","diet","JS0423","d8 0.8% phosphorus",403,NA,41.6,NA,NA,NA
"312","diet","JS0423","d9 0.9% phosphorus",400,NA,42.3,NA,NA,NA
"313","diet","LM0016","con diet1",194.4,NA,NA,31.4,NA,NA
"314","diet","LM0016","diet2",192.5,NA,NA,46.3,NA,NA
"315","diet","LM0016","diet3",191,NA,NA,51,NA,NA
"316","diet","LM0016","diet4",188.4,NA,NA,57.2,NA,NA
"317","diet","LM0047","csm2",218,NA,73.1,66.8,NA,NA
"318","diet","LM0047","csm3",216.2,NA,68.6,70.2,NA,NA
"319","diet","LM0047","gnc1",222.9,NA,70.9,60.9,NA,NA
"320","diet","LM0048","sbm",165.6,NA,40.4,56.3,NA,NA
"321","diet","LM0100","diet con",240.3,NA,21.9,43.6,NA,NA
"322","diet","LM0100","diet ghp 1",241.1,NA,23.1,59.9,NA,NA
"323","diet","LM0100","diet ghp 2",241.8,NA,25,56.2,NA,NA
"324","diet","LM0100","diet ghp 3",242.5,NA,27,52.5,NA,NA
"325","diet","LM0100","diet ghp 4",240.3,NA,29,68.9,NA,NA
"326","diet","LM0104","15% a. sieberiana",NA,NA,187,60,NA,NA
"327","diet","LM0104","30% a. sieberiana",NA,NA,180,55,NA,NA
"328","diet","LM0104","45% a. sieberiana",NA,NA,135,35,NA,NA
"329","diet","LM0104","60% a. sieberiana",NA,NA,134,33,NA,NA
"330","diet","LM0113.1","1",173.7,NA,55.3,41.3,NA,NA
"331","diet","LM0113.1","2",174.2,NA,56.5,37.5,NA,NA
"332","diet","LM0113.1","3",178.2,NA,57.5,32,NA,NA
"333","diet","LM0113.1","4",181.8,NA,55.4,29.3,NA,NA
"334","diet","LM0113.2","1",167.3,NA,60.8,46.6,NA,NA
"335","diet","LM0113.2","2",167.3,NA,57.5,53.7,NA,NA
"336","diet","LM0113.2","3",171.4,NA,57,58.5,NA,NA
"337","diet","LM0113.2","4",159.7,NA,55.4,67.6,NA,NA
"338","diet","LM0114","bundle 1 0 ws",189,326,NA,NA,NA,NA
"339","diet","LM0114","bundle 1 6.5 ws",185,355,NA,NA,NA,NA
"340","diet","LM0115","diet 2",137,NA,NA,NA,NA,NA
"341","diet","LM0115","diet 3",133,NA,NA,NA,NA,NA
"342","diet","LM0115","diet 4",138,NA,NA,NA,NA,NA
"343","diet","LM0115","diet con",135,NA,NA,NA,NA,NA
"344","diet","LM0117.3","group 1",354,NA,NA,NA,NA,NA
"345","diet","LM0117.3","group 2",295,NA,NA,NA,NA,NA
"346","diet","LM0117.3","group 3",286,NA,NA,NA,NA,NA
"347","diet","LM0120","cabbage diet",116.7,NA,60.6,NA,16.09,NA
"348","diet","LM0120","duckweed diet",274.2,NA,122.6,NA,16.43,NA
"349","diet","LM0120","kikuyu grass diet",264,NA,124.9,NA,17.99,NA
"350","diet","LM0120","vallisneria diet",127.9,NA,138.4,NA,14.74,NA
"351","diet","LM0121","diet 0",175.7,NA,NA,NA,NA,NA
"352","diet","LM0121","diet 20",171.1,NA,NA,NA,NA,NA
"353","diet","LM0121","diet 40",168.7,NA,NA,NA,NA,NA
"354","diet","LM0121","diet 60",162.4,NA,NA,NA,NA,NA
"355","diet","LM0121","diet 80",157.2,NA,NA,NA,NA,NA
"356","diet","LM0122","mix diet",371,NA,NA,NA,19.48,NA
"357","diet","LM0122","soy-1 diet",383,NA,NA,NA,20,NA
"358","diet","LM0122","soy-2 diet",364,NA,NA,NA,19.99,NA
"359","diet","LM0122","tomato diet",364,NA,NA,NA,21.28,NA
"360","diet","LM0122","yeast diet",342,NA,NA,NA,19.85,NA
"361","diet","LM0123","2",127.9,241,84,NA,NA,NA
"362","diet","LM0123","4",123.4,228,92,NA,NA,NA
"363","diet","LM0128","h300d12",NA,NA,NA,NA,NA,NA
"364","diet","LM0128","h300d6",NA,NA,NA,NA,NA,NA
"365","diet","LM0129","hps con bundle2",NA,NA,NA,NA,NA,NA
"366","diet","LM0129","hps bundle1",NA,NA,NA,NA,NA,NA
"367","diet","LM0129","hps+fm bundle1",NA,NA,NA,NA,NA,NA
"368","diet","LM0129","hps+fm bundle2",NA,NA,NA,NA,NA,NA
"369","diet","LM0129","mp+fm con bundle1",NA,NA,NA,NA,NA,NA
"370","diet","LM0129","mp+hps bundle1",NA,NA,NA,NA,NA,NA
"371","diet","LM0129","mp+hps bundle2",NA,NA,NA,NA,NA,NA
"372","diet","LM0136.1","14% crude protein",140,NA,NA,NA,NA,NA
