"","B.Code","A.Level.Name","diet_intake_kg","Source"
"243","BO1055","Cassava meal D3",6.84,"feed_intake"
"244","BO1055","Control D1",6.77,"feed_intake"
"245","BO1055","Rice D2",6.82,"feed_intake"
"246","BO1056","CS",1.416,"feed_intake"
"247","BO1056","RSPHigh",1.401,"feed_intake"
"248","BO1056","RSPLow",1.143,"feed_intake"
"249","BO1056","RSPMed",1.27,"feed_intake"
"250","BO1058","Control Diet",1.43665,"feed_intake"
"251","BO1058","Diet 1",1.41252,"feed_intake"
"252","BO1058","Diet 2",1.42054,"feed_intake"
"253","BO1058","Diet 3",1.4291,"feed_intake"
"254","BO1060","Diet 1",0.45247,"feed_intake"
"255","BO1060","Diet 2",0.45569,"feed_intake"
"256","BO1060","Diet 3",0.46306,"feed_intake"
"257","BO1060","Diet 4",0.46319,"feed_intake"
"258","BO1060","Diet 5",0.46689,"feed_intake"
"259","BO1061","Mucuna meal 16% (RFM)",0.07701,"feed_intake"
"260","BO1061","protein isolate meal 5% (RIM)",0.07698,"feed_intake"
"261","BO1061","soybean meal 7% (RTS)",0.07863,"feed_intake"
"262","BO1062","Control Diet",0.0261214285714286,"feed_intake"
"263","BO1062","ENZ0",0.0261321428571429,"feed_intake"
"264","BO1062","ENZ100",0.0256821428571429,"feed_intake"
"265","BO1062","ENZ25",0.0257321428571429,"feed_intake"
"266","BO1062","ENZ50",0.02635,"feed_intake"
"267","BO1062","ENZ75",0.0262392857142857,"feed_intake"
"268","BO1064","Baobab Diet",5.05,"feed_intake"
"269","BO1064","Des Diet",0.1224,"feed_intake"
"270","BO1064","Eup Diet",0.1067,"feed_intake"
"271","BO1064","Mor Diet",0.1028,"feed_intake"
"272","BO1064","Pan Diet",0.122,"feed_intake"
"273","BO1064","Soybean Diet",4.99,"feed_intake"
"274","BO1064","Vachellia Diet",4.35,"feed_intake"
"275","BO1065","MOLM0",0.2489,"feed_intake"
"276","BO1065","MOLM100",0.2432,"feed_intake"
