"","X","B.Code","A.Level.Name","D.Item","D.Type","D.Amount","D.Unit.Amount","Percentage_of_Diet","D.Item_raw"
"1691",1691,"EM1046","Treatment T2","urea","Supplement",30.4335,"g",2.5,"Urea"
"1692",1692,"EM1046","Treatment T2","soybean ground","Crop Product",103.4739,"g",8.5,"Soybean Ground"
"1693",1693,"EM1046","Treatment T3","maize","Crop Product",191.6835,"g",15,"Maize"
"1694",1694,"EM1046","Treatment T3","soybean ground","Crop Product",76.6734,"g",6,"Soybean Ground"
"1695",1695,"EM1046","Treatment T3","urea","Supplement",63.8945,"g",5,"Urea"
"1696",1696,"EM1047","GH0","maize grain","Crop Product",1746.5,"g",35,"Maize Grain"
"1697",1697,"EM1047","GH0","wheat offal","Crop Byproduct",2095.8,"g",42,"Wheat Offal"
"1698",1698,"EM1047","GH0","cotton seed cake","Crop Byproduct",998,"g",20,"Cotton Seed Cake"
"1699",1699,"EM1047","GH25","groundnut haulm","Crop Byproduct",1170.7,"g",23,"Groundnut Haulm"
"1700",1700,"EM1047","GH25","wheat offal","Crop Byproduct",1527,"g",30,"Wheat Offal"
"1701",1701,"EM1047","GH25","maize grain","Crop Product",1272.5,"g",25,"Maize Grain"
"1702",1702,"EM1047","GH25","cotton seed cake","Crop Byproduct",865.3,"g",17,"Cotton Seed Cake"
"1703",1703,"EM1047","GH25","molasses","Crop Byproduct",101.8,"g",2,"Unspecified Molasses"
"1704",1704,"EM1047","GH50","cotton seed cake","Crop Byproduct",635.6,"g",14,"Cotton Seed Cake"
"1705",1705,"EM1047","GH50","molasses","Crop Byproduct",181.6,"g",4,"Unspecified Molasses"
"1706",1706,"EM1047","GH50","maize grain","Crop Product",681,"g",15,"Maize Grain"
"1707",1707,"EM1047","GH50","wheat offal","Crop Byproduct",817.2,"g",18,"Wheat Offal"
"1708",1708,"EM1047","GH50","groundnut haulm","Crop Byproduct",2088.4,"g",46,"Groundnut Haulm"
"1709",1709,"EM1047","GH75","groundnut haulm","Crop Byproduct",3094,"g",70,"Groundnut Haulm"
"1710",1710,"EM1047","GH75","maize grain","Crop Product",265.2,"g",6,"Maize Grain"
"1711",1711,"EM1047","GH75","wheat offal","Crop Byproduct",176.8,"g",4,"Wheat Offal"
"1712",1712,"EM1047","GH75","molasses","Crop Byproduct",221,"g",5,"Unspecified Molasses"
"1713",1713,"EM1047","GH75","cotton seed cake","Crop Byproduct",530.4,"g",12,"Cotton Seed Cake"
"1714",1714,"EM1048","T1 Control","noug seed cake","Crop Byproduct",318.3939,"g",49.5,"Noug Seed Cake"
"1715",1715,"EM1048","T1 Control","maize","Crop Product",318.3939,"g",49.5,"Maize"
"1716",1716,"EM1048","T2 35FPH","pea seed hull","Crop Byproduct",246.9285,"g",35,"Pea Seed Hull"
"1717",1717,"EM1048","T2 35FPH","wheat offal","Crop Byproduct",211.653,"g",30,"Wheat Bran"
"1718",1718,"EM1048","T2 35FPH","noug seed cake","Crop Byproduct",239.8734,"g",34,"Noug Seed Cake"
"1719",1719,"EM1048","T3 50FPH","wheat offal","Crop Byproduct",114.264,"g",16,"Wheat Bran"
"1720",1720,"EM1048","T3 50FPH","pea seed hull","Crop Byproduct",357.075,"g",50,"Pea Seed Hull"
"1721",1721,"EM1048","T3 50FPH","noug seed cake","Crop Byproduct",235.6695,"g",33,"Noug Seed Cake"
"1722",1722,"EM1049","Treatment T2","maize offal","Crop Byproduct",75,"g",50,"Maize Offal"
"1723",1723,"EM1049","Treatment T2","cowpea husk","Crop Byproduct",75,"g",50,"Cowpea Husk"
"1724",1724,"EM1049","Treatment T3","cowpea husk","Crop Byproduct",100,"g",50,"Cowpea Husk"
"1725",1725,"EM1049","Treatment T3","maize offal","Crop Byproduct",100,"g",50,"Maize Offal"
"1726",1726,"EM1049","Treatment T4","cowpea husk","Crop Byproduct",125,"g",50,"Cowpea Husk"
"1727",1727,"EM1049","Treatment T4","maize offal","Crop Byproduct",125,"g",50,"Maize Offal"
"1728",1728,"EM1050","Treatment T1","supplement",NA,3940,"g",56.8542568542569,"Supplement"
"1729",1729,"EM1050","Treatment T1","groundnut haulm","Crop Byproduct",5544,"g",80,"Groundnut Haulm"
"1730",1730,"EM1050","Treatment T1","urea","Supplement",65.142,"g",0.94,"Urea"
"1731",1731,"EM1050","Treatment T1","maize offal","Crop Byproduct",1320.858,"g",19.06,"Maize Offal"
"1732",1732,"EM1050","Treatment T2","supplement",NA,3936,"g",54.9720670391062,"Supplement"
"1733",1733,"EM1050","Treatment T2","groundnut haulm","Crop Byproduct",4296,"g",60,"Groundnut Haulm"
"1734",1734,"EM1050","Treatment T2","maize offal","Crop Byproduct",2785.956,"g",38.91,"Maize Offal"
"1735",1735,"EM1050","Treatment T2","urea","Supplement",78.044,"g",1.09,"Urea"
"1736",1736,"EM1050","Treatment T3","urea","Supplement",89.88,"g",1.2,"Urea"
"1737",1737,"EM1050","Treatment T3","supplement",NA,3944,"g",52.6568758344459,"Supplement"
"1738",1738,"EM1050","Treatment T3","maize offal","Crop Byproduct",4404.12,"g",58.8,"Maize Offal"
"1739",1739,"EM1050","Treatment T3","groundnut haulm","Crop Byproduct",2996,"g",40,"Groundnut Haulm"
"1740",1740,"EM1050","Treatment T4","maize offal","Crop Byproduct",5957.59,"g",78.7,"Maize Offal"
"1741",1741,"EM1050","Treatment T4","supplement",NA,3936,"g",51.994715984148,"Supplement"
"1742",1742,"EM1050","Treatment T4","groundnut haulm","Crop Byproduct",1514,"g",20,"Groundnut Haulm"
"1743",1743,"EM1050","Treatment T4","urea","Supplement",98.41,"g",1.3,"Urea"
"1744",1744,"EM1051","T1  A","brewers grain dried","Crop Byproduct",500,"g",119.645848289064,"Brewers Grain Dried"
"1745",1745,"EM1051","T2 B","hevea brasiliensis seed cake boiled dried ground","Forage Plants",100,"g",23.3138274310494,"Hevea brasiliensis Seed Cake Boiled Dried Ground"
"1746",1746,"EM1051","T2 B","brewers grain dried","Crop Byproduct",400,"g",93.2553097241974,"Brewers Grain Dried"
"1747",1747,"EM1051","T3 C","hevea brasiliensis seed cake boiled dried ground","Forage Plants",200,"g",62.111801242236,"Hevea brasiliensis Seed Cake Boiled Dried Ground"
"1748",1748,"EM1051","T3 C","brewers grain dried","Crop Byproduct",300,"g",93.167701863354,"Brewers Grain Dried"
"1749",1749,"EM1051","T4 D","hevea brasiliensis seed cake boiled dried ground","Forage Plants",300,"g",104.1305102395,"Hevea brasiliensis Seed Cake Boiled Dried Ground"
"1750",1750,"EM1051","T4 D","brewers grain dried","Crop Byproduct",200,"g",69.4203401596668,"Brewers Grain Dried"
"1751",1751,"EM1052","Diet 1","saccharomyces cerevisiae dried","Probiotic",18.5084,"g",4,"Saccharomyces cerevisiae Dried"
"1752",1752,"EM1052","Diet 2","saccharomyces cerevisiae dried","Probiotic",13.9668,"g",3,"Saccharomyces cerevisiae Dried"
"1753",1753,"EM1052","Diet 2","molasses","Crop Byproduct",4.6556,"g",1,"Unspecified Molasses"
"1754",1754,"EM1052","Diet 3","saccharomyces cerevisiae dried","Probiotic",9.7272,"g",2,"Saccharomyces cerevisiae Dried"
"1755",1755,"EM1052","Diet 3","molasses","Crop Byproduct",9.7272,"g",2,"Unspecified Molasses"
"1756",1756,"EM1052","Diet 4","saccharomyces cerevisiae dried","Probiotic",4.6739,"g",1,"Saccharomyces cerevisiae Dried"
"1757",1757,"EM1052","Diet 4","molasses","Crop Byproduct",14.0217,"g",3,"Unspecified Molasses"
"1758",1758,"EM1052","Diet 5","molasses","Crop Byproduct",18.6664,"g",4,"Unspecified Molasses"
"1759",1759,"EM1053","Diet A","cassava peel dried ground","Crop Byproduct",67.29,"g",30,"Cassava Peel Dried Ground"
"1760",1760,"EM1053","Diet A","cassava sieviate dried ground","Crop Byproduct",112.15,"g",50,"Cassava Sieviate Dried Ground"
"1761",1761,"EM1053","Diet A","cassava leaves dried","Crop Byproduct",44.86,"g",20,"Cassava Leaves Dried"
"1762",1762,"EM1053","Diet B","cassava sieviate dried ground","Crop Byproduct",43.06,"g",20,"Cassava Sieviate Dried Ground"
"1763",1763,"EM1053","Diet B","cassava peel dried ground","Crop Byproduct",107.65,"g",50,"Cassava Peel Dried Ground"
"1764",1764,"EM1053","Diet B","cassava leaves dried","Crop Byproduct",64.59,"g",30,"Cassava Leaves Dried"
"1765",1765,"EM1053","Diet C","cassava peel dried ground","Crop Byproduct",52.78,"g",20,"Cassava Peel Dried Ground"
"1766",1766,"EM1053","Diet C","cassava leaves dried","Crop Byproduct",131.95,"g",50,"Cassava Leaves Dried"
"1767",1767,"EM1053","Diet C","cassava sieviate dried ground","Crop Byproduct",79.17,"g",30,"Cassava Sieviate Dried Ground"
"1768",1768,"EM1053","Diet D","pennisetum purpureum","Forage Plants",145.125,"g",50,"Pennisetum purpureum"
"1769",1769,"EM1053","Diet D","panicum maximum","Forage Plants",145.125,"g",50,"Panicum maximum"
"1770",1770,"EM1054","M0","maize","Crop Product",3955.8,"g",57,"Maize"
"1771",1771,"EM1054","M0","wheat offal","Crop Byproduct",1596.2,"g",23,"Wheat Bran"
"1772",1772,"EM1054","M0","soybean ground","Crop Product",1110.4,"g",16,"Soybean Ground"
"1773",1773,"EM1054","M0","concentrate",NA,3074,"g",44.2939481268012,"Concentrate"
"1774",1774,"EM1054","M15","maize","Crop Product",3550,"g",50,"Maize"
"1775",1775,"EM1054","M15","wheat offal","Crop Byproduct",1633,"g",23,"Wheat Bran"
"1776",1776,"EM1054","M15","moringa oleifera leaves ground","Forage Plants",1065,"g",15,"Moringa oleifera Leaves Ground"
"1777",1777,"EM1054","M15","concentrate",NA,3060,"g",43.0985915492958,"Concentrate"
"1778",1778,"EM1054","M15","soybean ground","Crop Product",568,"g",8,"Soybean Ground"
"1779",1779,"EM1055","Treatment T1","finisher diet","Preformulated Feed",2.238,"g",1.2,"Finisher Diet"
"1780",1780,"EM1055","Treatment T2","finisher diet","Preformulated Feed",2.38032,"g",1.14,"Finisher Diet"
"1781",1781,"EM1055","Treatment T2","adansonia digitata seed cake decorticated ground screw press","Forage Plants",0.04176,"g",0.02,"Adansonia digitata Seed Cake Decorticated Ground Screw press"
"1782",1782,"EM1055","Treatment T2","maize ground","Crop Product",0.08352,"g",0.04,"Maize Ground"
"1783",1783,"EM1055","Treatment T3","finisher diet","Preformulated Feed",2.18076,"g",1.02,"Finisher Diet"
"1784",1784,"EM1055","Treatment T3","adansonia digitata seed cake decorticated ground screw press","Forage Plants",0.12828,"g",0.06,"Adansonia digitata Seed Cake Decorticated Ground Screw press"
"1785",1785,"EM1055","Treatment T3","maize ground","Crop Product",0.25656,"g",0.12,"Maize Ground"
"1786",1786,"EM1055","Treatment T4","finisher diet","Preformulated Feed",1.8603,"g",0.9,"Finisher Diet"
"1787",1787,"EM1055","Treatment T4","maize ground","Crop Product",0.39273,"g",0.19,"Maize Ground"
"1788",1788,"EM1055","Treatment T4","adansonia digitata seed cake decorticated ground screw press","Forage Plants",0.22737,"g",0.11,"Adansonia digitata Seed Cake Decorticated Ground Screw press"
"1789",1789,"EM1056","Treatment T1","balanites aegyptiaca leaves ground","Forage Plants",102.91,"g",20,"Balanites aegyptiaca Leaves Ground"
"1790",1790,"EM1056","Treatment T1","rice husk","Crop Byproduct",102.91,"g",20,"Rice Husk"
"1791",1791,"EM1056","Treatment T1","palm kernel cake","Crop Byproduct",190.3835,"g",37,"Palm Kernel Cake"
"1792",1792,"EM1056","Treatment T1","wheat offal","Crop Byproduct",102.91,"g",20,"Wheat Offal"
"1793",1793,"EM1056","Treatment T2","cassava peel dried","Crop Byproduct",148.82175,"g",27.5,"Cassava Peel Dried"
"1794",1794,"EM1056","Treatment T2","groundnut haulm ensiled","Crop Byproduct",376.11315,"g",69.5,"Groundnut Haulm Ensiled"
"1795",1795,"EM1056","Treatment T3","groundnut haulm ensiled","Crop Byproduct",334.033,"g",59.5,"Groundnut Haulm Ensiled"
"1796",1796,"EM1056","Treatment T3","cassava peel dried","Crop Byproduct",210.525,"g",37.5,"Cassava Peel Dried"
"1797",1797,"EM1056","Treatment T4","cassava peel dried","Crop Byproduct",268.7075,"g",47.5,"Cassava Peel Dried"
"1798",1798,"EM1056","Treatment T4","groundnut haulm ensiled","Crop Byproduct",280.0215,"g",49.5,"Groundnut Haulm Ensiled"
"1799",1799,"EM1057","Diet R1","maize grain","Crop Product",174399,"g",100,"Maize Grain"
"1800",1800,"EM1057","Diet R2","opuntia ficus indica fruits dried ground","Forage Plants",8375.3,"g",5,"Opuntia ficus indica Fruits Dried Ground"
"1801",1801,"EM1057","Diet R2","maize grain","Crop Product",159130.7,"g",95,"Maize Grain"
"1802",1802,"EM1057","Diet R3","opuntia ficus indica fruits dried ground","Forage Plants",16854.3,"g",10,"Opuntia ficus indica Fruits Dried Ground"
"1803",1803,"EM1057","Diet R3","maize grain","Crop Product",151688.7,"g",90,"Maize Grain"
"1804",1804,"EM1057","Diet R4","maize grain","Crop Product",145231.85,"g",85,"Maize Grain"
"1805",1805,"EM1057","Diet R4","opuntia ficus indica fruits dried ground","Forage Plants",25629.15,"g",15,"Opuntia ficus indica Fruits Dried Ground"
"1806",1806,"EM1058","Treatment T1","maize offal","Crop Byproduct",276.86,"g",50.880288161135,"Maize Offal"
"1807",1807,"EM1058","Treatment T2","maize offal","Crop Byproduct",91.98385,"g",18.5,"Maize Offal"
"1808",1808,"EM1058","Treatment T2","mango seed kernel dried ground","Crop Byproduct",91.98385,"g",18.5,"Mango Seed Kernel Dried Ground"
"1809",1809,"EM1058","Treatment T3","mango seed kernel dried ground","Crop Byproduct",140.82015,"g",27.75,"Mango Seed Kernel Dried Ground"
"1810",1810,"EM1058","Treatment T3","maize offal","Crop Byproduct",46.94005,"g",9.25,"Maize Offal"
"1811",1811,"EM1058","Treatment T4","mango seed kernel dried ground","Crop Byproduct",182.9206,"g",37,"Mango Seed Kernel Dried Ground"
"1812",1812,"EM1059","Diet 1","soybean ground","Crop Product",2.469375,"g",2.25,"Soybean Ground"
"1813",1813,"EM1059","Diet 1","maize offal","Crop Byproduct",1.371875,"g",1.25,"Maize Bran"
"1814",1814,"EM1059","Diet 2","maize offal","Crop Byproduct",1.0258125,"g",0.9375,"Maize Bran"
"1815",1815,"EM1059","Diet 2","soybean ground","Crop Product",2.1200125,"g",1.9375,"Soybean Ground"
"1816",1816,"EM1059","Diet 2","moringa oleifera seed dried ground","Forage Plants",0.683875,"g",0.625,"Moringa oleifera Seed Dried Ground"
"1817",1817,"EM1059","Diet 3","soybean ground","Crop Product",2.09755,"g",1.625,"Soybean Ground"
"1818",1818,"EM1059","Diet 3","maize offal","Crop Byproduct",0.80675,"g",0.625,"Maize Bran"
"1819",1819,"EM1059","Diet 3","moringa oleifera seed dried ground","Forage Plants",1.6135,"g",1.25,"Moringa oleifera Seed Dried Ground"
"1820",1820,"EM1059","Diet 4","soybean ground","Crop Product",1.3902,"g",1.3125,"Soybean Ground"
"1821",1821,"EM1059","Diet 4","moringa oleifera seed dried ground","Forage Plants",1.986,"g",1.875,"Moringa oleifera Seed Dried Ground"
"1822",1822,"EM1059","Diet 4","maize offal","Crop Byproduct",0.331,"g",0.3125,"Maize Bran"
"1823",1823,"EM1060","Treatment T1","brewers grain dried","Crop Byproduct",0.442026666666667,"g",0.533333333333333,"Brewers Grain Dried"
"1824",1824,"EM1060","Treatment T1","palm kernel cake ground","Crop Byproduct",0.138133333333333,"g",0.166666666666667,"Palm Kernel Cake Ground"
"1825",1825,"EM1060","Treatment T1","wheat offal","Crop Byproduct",0.16576,"g",0.2,"Wheat Offal"
"1826",1826,"EM1060","Treatment T2","jatropha curcas leaves dried ground","Forage Plants",0.131516666666667,"g",0.166666666666667,"Jatropha curcas Leaves Dried Ground"
"1827",1827,"EM1060","Treatment T2","wheat offal","Crop Byproduct",0.105213333333333,"g",0.133333333333333,"Wheat Offal"
"1828",1828,"EM1060","Treatment T2","brewers grain dried","Crop Byproduct",0.420853333333333,"g",0.533333333333333,"Brewers Grain Dried"
"1829",1829,"EM1060","Treatment T2","palm kernel cake ground","Crop Byproduct",0.0526066666666667,"g",0.0666666666666667,"Palm Kernel Cake Ground"
"1830",1830,"EM1060","Treatment T3","wheat offal","Crop Byproduct",0.0227666666666667,"g",0.0333333333333333,"Wheat Offal"
"1831",1831,"EM1060","Treatment T3","brewers grain dried","Crop Byproduct",0.3415,"g",0.5,"Brewers Grain Dried"
"1832",1832,"EM1060","Treatment T3","palm kernel cake ground","Crop Byproduct",0.0227666666666667,"g",0.0333333333333333,"Palm Kernel Cake Ground"
"1833",1833,"EM1060","Treatment T3","jatropha curcas leaves dried ground","Forage Plants",0.227666666666667,"g",0.333333333333333,"Jatropha curcas Leaves Dried Ground"
"1834",1834,"EM1060","Treatment T4","wheat offal","Crop Byproduct",0.0212533333333333,"g",0.0333333333333333,"Wheat Offal"
"1835",1835,"EM1060","Treatment T4","jatropha curcas leaves dried ground","Forage Plants",0.3188,"g",0.5,"Jatropha curcas Leaves Dried Ground"
"1836",1836,"EM1060","Treatment T4","brewers grain dried","Crop Byproduct",0.19128,"g",0.3,"Brewers Grain Dried"
"1837",1837,"EM1060","Treatment T4","palm kernel cake ground","Crop Byproduct",0.0425066666666667,"g",0.0666666666666667,"Palm Kernel Cake Ground"
"1838",1838,"EM1062","Diet A M+V+C","enzyme","Probiotic",3.71666666666667e-05,"g",4.78951890034364e-05,"Enzyme"
"1839",1839,"EM1062","Diet A M+V+C","lysine","Supplement",0.000126366666666667,"g",0.000162843642611684,"Lysine"
"1840",1840,"EM1062","Diet A M+V+C","fish ground","Animal",0.000743333333333333,"g",0.000957903780068729,"Fish Ground"
"1841",1841,"EM1062","Diet A M+V+C","soybean cake","Crop Byproduct",0.00170966666666667,"g",0.00220317869415808,"Soybean Cake"
"1842",1842,"EM1062","Diet A M+V+C","lime","Supplement",0.000223,"g",0.000287371134020619,"Lime"
"1843",1843,"EM1062","Diet A M+V+C","moringa oleifera leaves dried ground","Forage Plants",0.000743333333333333,"g",0.000957903780068729,"Moringa oleifera Leaves Dried Ground"
"1844",1844,"EM1062","Diet A M+V+C","salt","Other Ingredients",4.46e-05,"g",5.74742268041237e-05,"Salt"
"1845",1845,"EM1062","Diet A M+V+C","groundnut cake","Crop Byproduct",0.00170966666666667,"g",0.00220317869415808,"Groundnut Cake"
"1846",1846,"EM1062","Diet A M+V+C","maize offal","Crop Byproduct",0.001338,"g",0.00172422680412371,"Maize Offal"
"1847",1847,"EM1062","Diet A M+V+C","bone ground","Animal Byproduct",0.000520333333333333,"g",0.00067053264604811,"Bone Ground"
"1848",1848,"EM1062","Diet A M+V+C","minerals and vitamins mix","Supplement",3.71666666666667e-05,"g",4.78951890034364e-05,"Minerals and Vitamins Mix"
"1849",1849,"EM1062","Diet A M+V+C","methionine","Supplement",0.000126366666666667,"g",0.000162843642611684,"Methionine"
"1850",1850,"EM1062","Diet A M+V+C","maize","Crop Product",0.007582,"g",0.00977061855670103,"Maize"
"1851",1851,"EM1062","Diet B M+C","fish ground","Animal",0.00071519,"g",0.000932729068077655,"Fish Ground"
"1852",1852,"EM1062","Diet B M+C","minerals and vitamins mix","Supplement",3.50583333333333e-05,"g",4.57220131410615e-05,"Minerals and Vitamins Mix"
"1853",1853,"EM1062","Diet B M+C","lysine","Supplement",0.000119198333333333,"g",0.000155454844679609,"Lysine"
"1854",1854,"EM1062","Diet B M+C","maize offal","Crop Byproduct",0.00131819333333333,"g",0.00171914769410391,"Maize Offal"
"1855",1855,"EM1062","Diet B M+C","groundnut cake","Crop Byproduct",0.00167578833333333,"g",0.00218551222814274,"Groundnut Cake"
"1856",1856,"EM1062","Diet B M+C","enzyme","Probiotic",3.50583333333333e-05,"g",4.57220131410615e-05,"Enzyme"
"1857",1857,"EM1062","Diet B M+C","bone ground","Animal Byproduct",0.000490816666666667,"g",0.000640108183974861,"Bone Ground"
"1858",1858,"EM1062","Diet B M+C","moringa oleifera leaves dried ground","Forage Plants",0.00071519,"g",0.000932729068077655,"Moringa oleifera Leaves Dried Ground"
"1859",1859,"EM1062","Diet B M+C","lime","Supplement",0.00021035,"g",0.000274332078846369,"Lime"
"1860",1860,"EM1062","Diet B M+C","methionine","Supplement",0.000119198333333333,"g",0.000155454844679609,"Methionine"
"1861",1861,"EM1062","Diet B M+C","salt","Other Ingredients",4.207e-05,"g",5.48664157692738e-05,"Salt"
"1862",1862,"EM1062","Diet B M+C","soybean cake","Crop Byproduct",0.00167578833333333,"g",0.00218551222814274,"Soybean Cake"
"1863",1863,"EM1062","Diet B M+C","maize","Crop Product",0.0071519,"g",0.00932729068077655,"Maize"
"1864",1864,"EM1062","Diet C V+C","lime","Supplement",0.000217,"g",0.000261504295281216,"Lime"
"1865",1865,"EM1062","Diet C V+C","enzyme","Probiotic",3.61666666666667e-06,"g",4.3584049213536e-06,"Enzyme"
"1866",1866,"EM1062","Diet C V+C","bone ground","Animal Byproduct",0.000506333333333333,"g",0.000610176688989504,"Bone Ground"
"1867",1867,"EM1062","Diet C V+C","minerals and vitamins mix","Supplement",3.61666666666667e-05,"g",4.3584049213536e-05,"Minerals and Vitamins Mix"
"1868",1868,"EM1062","Diet C V+C","fish ground","Animal",0.0007378,"g",0.000889114603956135,"Fish Ground"
"1869",1869,"EM1062","Diet C V+C","soybean cake","Crop Byproduct",0.00209766666666667,"g",0.00252787485438509,"Soybean Cake"
"1870",1870,"EM1062","Diet C V+C","salt","Other Ingredients",4.34e-05,"g",5.23008590562432e-05,"Salt"
"1871",1871,"EM1062","Diet C V+C","groundnut cake","Crop Byproduct",0.00209766666666667,"g",0.00252787485438509,"Groundnut Cake"
"1872",1872,"EM1062","Diet C V+C","maize","Crop Product",0.007378,"g",0.00889114603956134,"Maize"
"1873",1873,"EM1062","Diet C V+C","maize offal","Crop Byproduct",0.00135986666666667,"g",0.00163876025042895,"Maize Offal"
"1874",1874,"EM1062","Diet C V+C","methionine","Supplement",0.000122966666666667,"g",0.000148185767326022,"Methionine"
"1875",1875,"EM1062","Diet C V+C","lysine","Supplement",0.000122966666666667,"g",0.000148185767326022,"Lysine"
"1876",1876,"EM1062","Diet D","soybean cake","Crop Byproduct",0.002016,"g",0.00179738645337138,"Soybean Cake"
"1877",1877,"EM1062","Diet D","maize","Crop Product",0.007344,"g",0.00654762208013858,"Maize"
"1878",1878,"EM1062","Diet D","salt","Other Ingredients",4.32e-05,"g",3.85154240008152e-05,"Salt"
"1879",1879,"EM1062","Diet D","bone ground","Animal Byproduct",0.000504,"g",0.000449346613342844,"Bone Ground"
"1880",1880,"EM1062","Diet D","lime","Supplement",0.000216,"g",0.000192577120004076,"Lime"
"1881",1881,"EM1062","Diet D","groundnut cake","Crop Byproduct",0.002016,"g",0.00179738645337138,"Groundnut Cake"
"1882",1882,"EM1062","Diet D","lysine","Supplement",0.0001224,"g",0.000109127034668976,"Lysine"
"1883",1883,"EM1062","Diet D","minerals and vitamins mix","Supplement",3.6e-05,"g",3.2096186667346e-05,"Minerals and Vitamins Mix"
"1884",1884,"EM1062","Diet D","enzyme","Probiotic",3.6e-06,"g",3.2096186667346e-06,"Enzyme"
"1885",1885,"EM1062","Diet D","maize offal","Crop Byproduct",0.001296,"g",0.00115546272002446,"Maize Offal"
"1886",1886,"EM1062","Diet D","fish ground","Animal",0.00072,"g",0.00064192373334692,"Fish Ground"
"1887",1887,"EM1062","Diet D","methionine","Supplement",0.0001224,"g",0.000109127034668976,"Methionine"
"1888",1888,"EM1063","Treatment T1","salt","Other Ingredients",0.0105728571428571,"g",0.01,"Salt"
"1889",1889,"EM1063","Treatment T1","lysine","Supplement",0.0105728571428571,"g",0.01,"Lysine"
"1890",1890,"EM1063","Treatment T1","palm oil","Crop Product",0.317185714285714,"g",0.3,"Palm Oil"
"1891",1891,"EM1063","Treatment T1","methionine","Supplement",0.0105728571428571,"g",0.01,"Methionine"
"1892",1892,"EM1063","Treatment T1","fish ground","Animal",0.317185714285714,"g",0.3,"Fish Ground"
"1893",1893,"EM1063","Treatment T1","maize","Crop Product",5.74106142857143,"g",5.43,"Maize"
"1894",1894,"EM1063","Treatment T1","groundnut cake","Crop Byproduct",3.47847,"g",3.29,"Groundnut Cake"
"1895",1895,"EM1063","Treatment T1","bone ground","Animal Byproduct",0.0845828571428571,"g",0.08,"Bone Ground"
"1896",1896,"EM1063","Treatment T1","minerals and vitamins mix","Supplement",0.0264321428571429,"g",0.025,"Minerals and Vitamins Mix"
"1897",1897,"EM1063","Treatment T1","maize offal","Crop Byproduct",0.470492142857143,"g",0.445,"Maize Bran"
"1898",1898,"EM1063","Treatment T1","calcium carbonate","Supplement",0.105728571428571,"g",0.1,"Calcium Carbonate"
"1899",1899,"EM1063","Treatment T2","maize","Crop Product",7.14277714285714,"g",5.43,"Maize"
"1900",1900,"EM1063","Treatment T2","groundnut cake","Crop Byproduct",3.67004571428571,"g",2.79,"Groundnut Cake"
"1901",1901,"EM1063","Treatment T2","maize offal","Crop Byproduct",0.32228,"g",0.245,"Maize Bran"
"1902",1902,"EM1063","Treatment T2","bone ground","Animal Byproduct",0.105234285714286,"g",0.08,"Bone Ground"
"1903",1903,"EM1063","Treatment T2","minerals and vitamins mix","Supplement",0.0328857142857143,"g",0.025,"Minerals and Vitamins Mix"
"1904",1904,"EM1063","Treatment T2","palm oil","Crop Product",0.394628571428571,"g",0.3,"Palm Oil"
"1905",1905,"EM1063","Treatment T2","lysine","Supplement",0.0131542857142857,"g",0.01,"Lysine"
"1906",1906,"EM1063","Treatment T2","fish ground","Animal",0.657714285714286,"g",0.5,"Fish Ground"
"1907",1907,"EM1063","Treatment T2","calcium carbonate","Supplement",0.131542857142857,"g",0.1,"Calcium Carbonate"
"1908",1908,"EM1063","Treatment T2","methionine","Supplement",0.0131542857142857,"g",0.01,"Methionine"
"1909",1909,"EM1063","Treatment T2","salt","Other Ingredients",0.0131542857142857,"g",0.01,"Salt"
"1910",1910,"EM1063","Treatment T2","delonix regia seed ground","Forage Plants",0.657714285714286,"g",0.5,"Delonix regia Seed Ground"
"1911",1911,"EM1063","Treatment T3","maize","Crop Product",7.33825714285714,"g",5.43,"Maize"
"1912",1912,"EM1063","Treatment T3","groundnut cake","Crop Byproduct",3.77048571428571,"g",2.79,"Groundnut Cake"
"1913",1913,"EM1063","Treatment T3","palm oil","Crop Product",0.405428571428571,"g",0.3,"Palm Oil"
"1914",1914,"EM1063","Treatment T3","delonix regia seed alkali treated dried fermented ground","Forage Plants",0.675714285714286,"g",0.5,"Delonix regia Seed Alkali Treated Dried Fermented Ground"
"1915",1915,"EM1063","Treatment T3","minerals and vitamins mix","Supplement",0.0337857142857143,"g",0.025,"Minerals and Vitamins Mix"
"1916",1916,"EM1063","Treatment T3","maize offal","Crop Byproduct",0.3311,"g",0.245,"Maize Bran"
"1917",1917,"EM1063","Treatment T3","methionine","Supplement",0.0135142857142857,"g",0.01,"Methionine"
"1918",1918,"EM1063","Treatment T3","fish ground","Animal",0.675714285714286,"g",0.5,"Fish Ground"
"1919",1919,"EM1063","Treatment T3","salt","Other Ingredients",0.0337857142857143,"g",0.025,"Salt"
"1920",1920,"EM1063","Treatment T3","calcium carbonate","Supplement",0.135142857142857,"g",0.1,"Calcium Carbonate"
"1921",1921,"EM1063","Treatment T3","bone ground","Animal Byproduct",0.108114285714286,"g",0.08,"Bone Ground"
"1922",1922,"EM1063","Treatment T3","lysine","Supplement",0.0135142857142857,"g",0.01,"Lysine"
"1923",1923,"EM1063","Treatment T4","maize","Crop Product",7.03650428571428,"g",5.43,"Maize"
"1924",1924,"EM1063","Treatment T4","maize offal","Crop Byproduct",0.317485,"g",0.245,"Maize Bran"
"1925",1925,"EM1063","Treatment T4","delonix regia seed ground roasted","Forage Plants",0.647928571428571,"g",0.5,"Delonix regia Seed Ground Roasted"
