"","B.Code","D.Item","P.Product","Herd.Stage","GE_daily","CH4_kg_year","Total_Amount","D.Unit.Amount","CH4_flag","Ym","source","final_intake_kg_day","ED.Mean.T","T.Name","T.Control"
"73","BO1015","42% CFM +52% CS +6% SS (G3)","Goat","Lactating Female",31.4372243706163,11.3405620708018,1.623,"kg","GE_diet_based",0.055,"GE_diet_from_ingredients",NA,1.623,"T3","no"
"74","BO1015","42% CFM +52% CS +6% SS (G3)","Goat","Lactating Female",31.4372243706163,11.3405620708018,1.623,"kg","GE_diet_based",0.055,"GE_diet_from_ingredients",NA,1.623,"T3","no"
"75","BO1015","42% CFM +52% CS +6% TSS (G5)","Goat","Lactating Female",31.312194118406,11.2954590642767,1.617,"kg","GE_diet_based",0.055,"GE_diet_from_ingredients",NA,1.617,"T5","no"
"76","BO1015","42% CFM +52% CS +6% TSS (G5)","Goat","Lactating Female",31.312194118406,11.2954590642767,1.617,"kg","GE_diet_based",0.055,"GE_diet_from_ingredients",NA,1.617,"T5","no"
"77","BO1015","42% CFM +52% CS +6% TSS (G5)","Goat","Lactating Female",31.312194118406,11.2954590642767,1.617,"kg","GE_diet_based",0.055,"GE_diet_from_ingredients",NA,1.617,"T5","no"
"78","BO1015","42% CFM +52% CS +6% TSS (G5)","Goat","Lactating Female",31.312194118406,11.2954590642767,1.617,"kg","GE_diet_based",0.055,"GE_diet_from_ingredients",NA,1.617,"T5","no"
"79","BO1015","42% CFM +52% CS +6% TSS (G5)","Goat","Lactating Female",31.312194118406,11.2954590642767,1.617,"kg","GE_diet_based",0.055,"GE_diet_from_ingredients",NA,1.617,"T5","no"
"80","BO1015","42% CFM +52% CS +6% TSS (G5)","Goat","Lactating Female",31.312194118406,11.2954590642767,1.617,"kg","GE_diet_based",0.055,"GE_diet_from_ingredients",NA,1.617,"T5","no"
"81","BO1015","42% CFM +52% CS +6% TSS (G5)","Goat","Lactating Female",31.312194118406,11.2954590642767,1.617,"kg","GE_diet_based",0.055,"GE_diet_from_ingredients",NA,1.617,"T5","no"
"82","BO1015","42% CFM +52% CS +6% TSS (G5)","Goat","Lactating Female",31.312194118406,11.2954590642767,1.617,"kg","GE_diet_based",0.055,"GE_diet_from_ingredients",NA,1.617,"T5","no"
