"","B.Code","D.Item","DC.Variable","DC.Value","is_entire_diet","is_group"
"224","AN0029","T3 2.5%","EE",NA,TRUE,FALSE
"225","AN0029","T3 2.5%","GE",20.3852848,TRUE,FALSE
"226","AN0058","PJP 0","CP",230.4,TRUE,FALSE
"227","AN0058","PJP 0","NDF",NA,TRUE,FALSE
"228","AN0058","PJP 0","Ash",78,TRUE,FALSE
"229","AN0058","PJP 0","EE",86.1,TRUE,FALSE
"230","AN0058","PJP 0","GE",NA,TRUE,FALSE
"231","AN0058","PJP 10","CP",233.9,TRUE,FALSE
"232","AN0058","PJP 10","NDF",NA,TRUE,FALSE
"233","AN0058","PJP 10","Ash",81,TRUE,FALSE
"234","AN0058","PJP 10","EE",81.3,TRUE,FALSE
"235","AN0058","PJP 10","GE",NA,TRUE,FALSE
"236","AN0058","PJP 20","CP",234.3,TRUE,FALSE
"237","AN0058","PJP 20","NDF",NA,TRUE,FALSE
"238","AN0058","PJP 20","Ash",82,TRUE,FALSE
"239","AN0058","PJP 20","EE",78.1,TRUE,FALSE
"240","AN0058","PJP 20","GE",NA,TRUE,FALSE
"241","AN0058","PJP 30","CP",229.7,TRUE,FALSE
"242","AN0058","PJP 30","NDF",NA,TRUE,FALSE
"243","AN0058","PJP 30","Ash",82.5,TRUE,FALSE
"244","AN0058","PJP 30","EE",70.6,TRUE,FALSE
"245","AN0058","PJP 30","GE",NA,TRUE,FALSE
"246","EO0027","CBS","CP",281,TRUE,FALSE
"247","EO0027","CBS","NDF",NA,TRUE,FALSE
"248","EO0027","CBS","Ash",154,TRUE,FALSE
"249","EO0027","CBS","EE",NA,TRUE,FALSE
"250","EO0027","CBS","GE",14.7,TRUE,FALSE
"251","EO0027","COC","CP",281,TRUE,FALSE
"252","EO0027","COC","NDF",NA,TRUE,FALSE
"253","EO0027","COC","Ash",129,TRUE,FALSE
"254","EO0027","COC","EE",NA,TRUE,FALSE
"255","EO0027","COC","GE",13.9,TRUE,FALSE
"256","EO0027","Reference diet","CP",284,TRUE,FALSE
"257","EO0027","Reference diet","NDF",NA,TRUE,FALSE
"258","EO0027","Reference diet","Ash",99.9,TRUE,FALSE
"259","EO0027","Reference diet","EE",NA,TRUE,FALSE
"260","EO0027","Reference diet","GE",15.1,TRUE,FALSE
"261","EO0046","0% CFL","CP",107.3,TRUE,FALSE
"262","EO0046","0% CFL","NDF",406.6,TRUE,FALSE
"263","EO0046","0% CFL","Ash",132.5,TRUE,FALSE
"264","EO0046","0% CFL","EE",105.1,TRUE,FALSE
"265","EO0046","0% CFL","GE",NA,TRUE,FALSE
"266","EO0046","10% CFL","CP",111.7,TRUE,FALSE
"267","EO0046","10% CFL","NDF",447.9,TRUE,FALSE
"268","EO0046","10% CFL","Ash",106.3,TRUE,FALSE
"269","EO0046","10% CFL","EE",138.3,TRUE,FALSE
"270","EO0046","10% CFL","GE",NA,TRUE,FALSE
"271","EO0046","20% CFL","CP",135.8,TRUE,FALSE
"272","EO0046","20% CFL","NDF",508,TRUE,FALSE
"273","EO0046","20% CFL","Ash",107.3,TRUE,FALSE
"274","EO0046","20% CFL","EE",105,TRUE,FALSE
"275","EO0046","20% CFL","GE",NA,TRUE,FALSE
"276","EO0046","30% CFL","CP",139.7,TRUE,FALSE
"277","EO0046","30% CFL","NDF",561.4,TRUE,FALSE
"278","EO0046","30% CFL","Ash",112.5,TRUE,FALSE
"279","EO0046","30% CFL","EE",102.5,TRUE,FALSE
"280","EO0046","30% CFL","GE",NA,TRUE,FALSE
"281","EO0047","PP0-0%","CP",NA,TRUE,FALSE
"282","EO0047","PP0-0%","NDF",NA,TRUE,FALSE
"283","EO0047","PP0-0%","Ash",NA,TRUE,FALSE
"284","EO0047","PP0-0%","EE",NA,TRUE,FALSE
"285","EO0047","PP0-0%","GE",NA,TRUE,FALSE
"286","EO0047","PP10-10%","CP",NA,TRUE,FALSE
"287","EO0047","PP10-10%","NDF",NA,TRUE,FALSE
"288","EO0047","PP10-10%","Ash",NA,TRUE,FALSE
"289","EO0047","PP10-10%","EE",NA,TRUE,FALSE
"290","EO0047","PP10-10%","GE",NA,TRUE,FALSE
"291","EO0047","PP20-20%","CP",NA,TRUE,FALSE
"292","EO0047","PP20-20%","NDF",NA,TRUE,FALSE
"293","EO0047","PP20-20%","Ash",NA,TRUE,FALSE
"294","EO0047","PP20-20%","EE",NA,TRUE,FALSE
"295","EO0047","PP20-20%","GE",NA,TRUE,FALSE
"296","EO0047","PP30-30%","CP",NA,TRUE,FALSE
"297","EO0047","PP30-30%","NDF",NA,TRUE,FALSE
"298","EO0047","PP30-30%","Ash",NA,TRUE,FALSE
"299","EO0047","PP30-30%","EE",NA,TRUE,FALSE
"300","EO0047","PP30-30%","GE",NA,TRUE,FALSE
"301","EO0057","T1","CP",185,TRUE,FALSE
"302","EO0057","T1","NDF",NA,TRUE,FALSE
"303","EO0057","T1","Ash",NA,TRUE,FALSE
"304","EO0057","T1","EE",NA,TRUE,FALSE
"305","EO0057","T1","GE",NA,TRUE,FALSE
"306","EO0057","T2","CP",185,TRUE,FALSE
"307","EO0057","T2","NDF",NA,TRUE,FALSE
"308","EO0057","T2","Ash",NA,TRUE,FALSE
"309","EO0057","T2","EE",NA,TRUE,FALSE
"310","EO0057","T2","GE",NA,TRUE,FALSE
"311","EO0078","0% PJP","CP",169,TRUE,FALSE
"312","EO0078","0% PJP","NDF",NA,TRUE,FALSE
"313","EO0078","0% PJP","Ash",67,TRUE,FALSE
"314","EO0078","0% PJP","EE",49.3,TRUE,FALSE
"315","EO0078","0% PJP","GE",NA,TRUE,FALSE
"316","EO0078","10%PJP","CP",155.1,TRUE,FALSE
"317","EO0078","10%PJP","NDF",NA,TRUE,FALSE
"318","EO0078","10%PJP","Ash",NA,TRUE,FALSE
"319","EO0078","10%PJP","EE",45.7,TRUE,FALSE
"320","EO0078","10%PJP","GE",NA,TRUE,FALSE
"321","EO0078","20%PJP","CP",150.9,TRUE,FALSE
"322","EO0078","20%PJP","NDF",NA,TRUE,FALSE
"323","EO0078","20%PJP","Ash",57.6,TRUE,FALSE
"324","EO0078","20%PJP","EE",42.8,TRUE,FALSE
"325","EO0078","20%PJP","GE",NA,TRUE,FALSE
"326","EO0078","30%PJP","CP",160.1,TRUE,FALSE
"327","EO0078","30%PJP","NDF",NA,TRUE,FALSE
"328","EO0078","30%PJP","Ash",51.2,TRUE,FALSE
"329","EO0078","30%PJP","EE",40.4,TRUE,FALSE
"330","EO0078","30%PJP","GE",NA,TRUE,FALSE
"331","EO0078","40%PJP","CP",157.2,TRUE,FALSE
"332","EO0078","40%PJP","NDF",NA,TRUE,FALSE
"333","EO0078","40%PJP","Ash",49,TRUE,FALSE
"334","EO0078","40%PJP","EE",39,TRUE,FALSE
"335","EO0078","40%PJP","GE",NA,TRUE,FALSE
"336","EO0086","0JKM1","CP",220,TRUE,FALSE
"337","EO0086","0JKM1","NDF",NA,TRUE,FALSE
"338","EO0086","0JKM1","Ash",182,TRUE,FALSE
"339","EO0086","0JKM1","EE",75,TRUE,FALSE
"340","EO0086","0JKM1","GE",NA,TRUE,FALSE
"341","EO0086","0JKM2","CP",203,TRUE,FALSE
"342","EO0086","0JKM2","NDF",NA,TRUE,FALSE
"343","EO0086","0JKM2","Ash",112,TRUE,FALSE
"344","EO0086","0JKM2","EE",123,TRUE,FALSE
"345","EO0086","0JKM2","GE",NA,TRUE,FALSE
"346","EO0086","4JKM1","CP",205,TRUE,FALSE
"347","EO0086","4JKM1","NDF",NA,TRUE,FALSE
"348","EO0086","4JKM1","Ash",154,TRUE,FALSE
"349","EO0086","4JKM1","EE",86,TRUE,FALSE
"350","EO0086","4JKM1","GE",NA,TRUE,FALSE
"351","EO0086","8JKM1","CP",207,TRUE,FALSE
"352","EO0086","8JKM1","NDF",NA,TRUE,FALSE
"353","EO0086","8JKM1","Ash",154,TRUE,FALSE
"354","EO0086","8JKM1","EE",74,TRUE,FALSE
"355","EO0086","8JKM1","GE",NA,TRUE,FALSE
"356","EO0086","8JKM2","CP",207,TRUE,FALSE
"357","EO0086","8JKM2","NDF",NA,TRUE,FALSE
"358","EO0086","8JKM2","Ash",113,TRUE,FALSE
"359","EO0086","8JKM2","EE",104,TRUE,FALSE
"360","EO0086","8JKM2","GE",NA,TRUE,FALSE
"361","HK0006","D1 No F.polita","CP",79,TRUE,FALSE
"362","HK0006","D1 No F.polita","NDF",NA,TRUE,FALSE
"363","HK0006","D1 No F.polita","Ash",NA,TRUE,FALSE
"364","HK0006","D1 No F.polita","EE",NA,TRUE,FALSE
"365","HK0006","D1 No F.polita","GE",NA,TRUE,FALSE
"366","HK0006","D2 30 F.polita","CP",114.1,TRUE,FALSE
"367","HK0006","D2 30 F.polita","NDF",NA,TRUE,FALSE
"368","HK0006","D2 30 F.polita","Ash",NA,TRUE,FALSE
"369","HK0006","D2 30 F.polita","EE",NA,TRUE,FALSE
"370","HK0006","D2 30 F.polita","GE",NA,TRUE,FALSE
"371","HK0006","D3  60 F.polita","CP",149.2,TRUE,FALSE
"372","HK0006","D3  60 F.polita","NDF",NA,TRUE,FALSE
"373","HK0006","D3  60 F.polita","Ash",NA,TRUE,FALSE
"374","HK0006","D3  60 F.polita","EE",NA,TRUE,FALSE
"375","HK0006","D3  60 F.polita","GE",NA,TRUE,FALSE
"376","HK0006","D4 90 F.polita","CP",184.3,TRUE,FALSE
"377","HK0006","D4 90 F.polita","NDF",NA,TRUE,FALSE
"378","HK0006","D4 90 F.polita","Ash",NA,TRUE,FALSE
"379","HK0006","D4 90 F.polita","EE",NA,TRUE,FALSE
"380","HK0006","D4 90 F.polita","GE",NA,TRUE,FALSE
"381","HK0007","Con","CP",169.2,TRUE,FALSE
"382","HK0007","Con","NDF",NA,TRUE,FALSE
"383","HK0007","Con","Ash",NA,TRUE,FALSE
"384","HK0007","Con","EE",NA,TRUE,FALSE
"385","HK0007","Con","GE",NA,TRUE,FALSE
"386","HK0007","HWM1","CP",168.2,TRUE,FALSE
"387","HK0007","HWM1","NDF",NA,TRUE,FALSE
"388","HK0007","HWM1","Ash",NA,TRUE,FALSE
"389","HK0007","HWM1","EE",NA,TRUE,FALSE
"390","HK0007","HWM1","GE",NA,TRUE,FALSE
"391","HK0007","HWM2","CP",166.2,TRUE,FALSE
"392","HK0007","HWM2","NDF",NA,TRUE,FALSE
"393","HK0007","HWM2","Ash",NA,TRUE,FALSE
"394","HK0007","HWM2","EE",NA,TRUE,FALSE
"395","HK0007","HWM2","GE",NA,TRUE,FALSE
"396","HK0007","HWM3","CP",162.4,TRUE,FALSE
"397","HK0007","HWM3","NDF",NA,TRUE,FALSE
"398","HK0007","HWM3","Ash",NA,TRUE,FALSE
"399","HK0007","HWM3","EE",NA,TRUE,FALSE
"400","HK0007","HWM3","GE",NA,TRUE,FALSE
"401","HK0008","0% Leucaena Goat","CP",108,TRUE,FALSE
"402","HK0008","0% Leucaena Goat","NDF",NA,TRUE,FALSE
"403","HK0008","0% Leucaena Goat","Ash",NA,TRUE,FALSE
"404","HK0008","0% Leucaena Goat","EE",NA,TRUE,FALSE
"405","HK0008","0% Leucaena Goat","GE",NA,TRUE,FALSE
"406","HK0008","0% Leucaena Sheep","CP",108,TRUE,FALSE
"407","HK0008","0% Leucaena Sheep","NDF",NA,TRUE,FALSE
"408","HK0008","0% Leucaena Sheep","Ash",NA,TRUE,FALSE
"409","HK0008","0% Leucaena Sheep","EE",NA,TRUE,FALSE
"410","HK0008","0% Leucaena Sheep","GE",NA,TRUE,FALSE
"411","HK0008","20% Leucaena Goat","CP",139,TRUE,FALSE
"412","HK0008","20% Leucaena Goat","NDF",NA,TRUE,FALSE
"413","HK0008","20% Leucaena Goat","Ash",NA,TRUE,FALSE
"414","HK0008","20% Leucaena Goat","EE",NA,TRUE,FALSE
"415","HK0008","20% Leucaena Goat","GE",NA,TRUE,FALSE
"416","HK0008","20% Leucaena Sheep","CP",139,TRUE,FALSE
"417","HK0008","20% Leucaena Sheep","NDF",NA,TRUE,FALSE
"418","HK0008","20% Leucaena Sheep","Ash",NA,TRUE,FALSE
"419","HK0008","20% Leucaena Sheep","EE",NA,TRUE,FALSE
"420","HK0008","20% Leucaena Sheep","GE",NA,TRUE,FALSE
"421","HK0008","40% Leucaena Goat","CP",181,TRUE,FALSE
"422","HK0008","40% Leucaena Goat","NDF",NA,TRUE,FALSE
"423","HK0008","40% Leucaena Goat","Ash",NA,TRUE,FALSE
"424","HK0008","40% Leucaena Goat","EE",NA,TRUE,FALSE
"425","HK0008","40% Leucaena Goat","GE",NA,TRUE,FALSE
"426","HK0008","40% Leucaena Sheep","CP",181,TRUE,FALSE
"427","HK0008","40% Leucaena Sheep","NDF",NA,TRUE,FALSE
"428","HK0008","40% Leucaena Sheep","Ash",NA,TRUE,FALSE
"429","HK0008","40% Leucaena Sheep","EE",NA,TRUE,FALSE
"430","HK0008","40% Leucaena Sheep","GE",NA,TRUE,FALSE
"431","HK0008","60% Leucaena Goat","CP",227,TRUE,FALSE
"432","HK0008","60% Leucaena Goat","NDF",NA,TRUE,FALSE
"433","HK0008","60% Leucaena Goat","Ash",NA,TRUE,FALSE
"434","HK0008","60% Leucaena Goat","EE",NA,TRUE,FALSE
"435","HK0008","60% Leucaena Goat","GE",NA,TRUE,FALSE
"436","HK0008","60% Leucaena Sheep","CP",227,TRUE,FALSE
"437","HK0008","60% Leucaena Sheep","NDF",NA,TRUE,FALSE
"438","HK0008","60% Leucaena Sheep","Ash",NA,TRUE,FALSE
"439","HK0008","60% Leucaena Sheep","EE",NA,TRUE,FALSE
"440","HK0008","60% Leucaena Sheep","GE",NA,TRUE,FALSE
"441","HK0008","80% Leucaena Goat","CP",263,TRUE,FALSE
