"","B.Code","A.Level.Name","ED.Intake.Item","ED.Intake.Item.Raw","ED.Mean.T","ED.Error","Out.Subind","P.Product","is_entire_diet","is_group","T.Animals","Out.Unit.Animals","Out.Unit.Time","Out.Unit.Amount","Out.WG.Start","Out.WG.Unit","ED_item_clean"
"113","BO1008","G1","Pennisetum glaucum;Atriplex nummularia","Pennisetum glaucum;Atriplex nummularia",0.85,NA,"Feed Intake",NA,FALSE,NA,NA,"individual","day","kg",43.71,"kg","pennisetum glaucum;atriplex nummularia"
"114","BO1008","G2","Atriplex nummularia;Pennisetum glaucum;Propionibacteria freudenreichii","Atriplex nummularia;Pennisetum glaucum;Propionibacteria freudenreichii",0.87,NA,"Feed Intake",NA,FALSE,NA,NA,"individual","day","kg",43.14,"kg","atriplex nummularia;pennisetum glaucum;propionibacteria freudenreichii"
"115","BO1008","G2","Entire Diet","Entire Diet",0.7,NA,"Feed Intake",NA,TRUE,NA,NA,"individual","day","kg",43.14,"kg","entire diet"
"116","BO1009","Diet 1","Entire Diet","Entire Diet",0.408,0.07,"Feed Intake",NA,TRUE,NA,3,"individual","day","kg",5.85,"kg","entire diet"
"117","BO1009","Diet 2","Entire Diet","Entire Diet",0.423,0.07,"Feed Intake",NA,TRUE,NA,3,"individual","day","kg",6.955,"kg","entire diet"
"118","BO1009","Diet 3","Entire Diet","Entire Diet",0.409,0.07,"Feed Intake",NA,TRUE,NA,3,"individual","day","kg",6.9,"kg","entire diet"
"119","BO1009","Diet 4","Entire Diet","Entire Diet",0.446,0.07,"Feed Intake",NA,TRUE,NA,3,"individual","day","kg",7.15,"kg","entire diet"
"120","BO1010","A. dilbata","Entire Diet","Entire Diet",0.2904,5.21,"Feed Intake",NA,TRUE,NA,10,"individual","day","kg",19.2,"kg","entire diet"
"121","BO1010","A. mearnsii","Entire Diet","Entire Diet",0.2886,5.01,"Feed Intake",NA,TRUE,NA,10,"individual","day","kg",19.2,"kg","entire diet"
"122","BO1010","Protein supplement","Entire Diet","Entire Diet",0.3189,4.92,"Feed Intake",NA,TRUE,NA,10,"individual","day","kg",19.2,"kg","entire diet"
"123","BO1010","Rangeland hay Control","Entire Diet","Entire Diet",0.2744,5.22,"Feed Intake",NA,TRUE,NA,10,"individual","day","kg",19.2,"kg","entire diet"
"124","BO1011","Control","Entire Diet","Entire Diet",0.675,NA,"Feed Intake",NA,TRUE,NA,NA,"individual","day","kg",32.41,"kg","entire diet"
"125","BO1011","Diet 1","Entire Diet","Entire Diet",0.675,NA,"Feed Intake",NA,TRUE,NA,NA,"individual","day","kg",32.73,"kg","entire diet"
"126","BO1011","Diet 2","Entire Diet","Entire Diet",0.675,NA,"Feed Intake",NA,TRUE,NA,NA,"individual","day","kg",32.91,"kg","entire diet"
"127","BO1011","Diet 3","Entire Diet","Entire Diet",0.65,NA,"Feed Intake",NA,TRUE,NA,NA,"individual","day","kg",32.95,"kg","entire diet"
