"","B.Code","A.Level.Name","D.Item","D.Type","D.Amount","D.Unit.Amount","D.Unit.Time","D.Unit.Animals","DC.Is.Dry","D.Ad.lib","D.Item.Group","D.Item.AOM","AOM.Scientific.Name","Source","Units","T.Animals","D.Unit.Standard","Out.WG.Start","Out.WG.Unit","intake_source","ignore_for_balance","T.Name","T.Control"
"61","AG0087","Direct boiling DF 1.5%","Lysine - HCl","Non-ERA Feed;from_pct_using_pred_archimede2014",6.11914333341956e-05,"kg","day","individual","Yes",NA,"Base","AOM_000740",NA,"livestock","% Diet;NA;individual",10,"% Diet NA individual",1.1635,"kg","original",FALSE,"Direct boiling DF 1.5%","no"
"62","AG0087","Direct boiling DF 3.5%","Fish Boiled Ground","Animal;from_pct_using_pred_archimede2014",0.00216643017196356,"kg","day","individual","Yes",NA,NA,"AOM_001098",NA,"livestock","% Diet;NA;individual",10,"% Diet NA individual",1.1791,"kg","original",FALSE,"Direct boiling DF 3.5%","no"
"63","AG0087","Direct boiling DF 3.5%","Methionine","Non-ERA Feed;from_pct_using_pred_archimede2014",2.47592019652978e-05,"kg","day","individual","Yes",NA,"Base","AOM_001377",NA,"livestock","% Diet;NA;individual",10,"% Diet NA individual",1.1791,"kg","original",FALSE,"Direct boiling DF 3.5%","no"
"64","AG0087","Direct boiling DF 3.5%","Lime","Non-ERA Feed;from_pct_using_pred_archimede2014",0.00618980049132445,"kg","day","individual","Yes",NA,"Base","AOM_000760",NA,"livestock","% Diet;NA;individual",10,"% Diet NA individual",1.1791,"kg","original",FALSE,"Direct boiling DF 3.5%","no"
"65","AG0087","Direct boiling DF 3.5%","Imported Concentrate","Other Feed;from_pct_using_pred_archimede2014",0.000928470073698667,"kg","day","individual","Yes",NA,NA,"AOM_000805",NA,"livestock","% Diet;NA;individual",10,"% Diet NA individual",1.1791,"kg","original",FALSE,"Direct boiling DF 3.5%","no"
"66","AG0087","Direct boiling DF 3.5%","Groundnut Cake","Crop Byproduct;from_pct_using_pred_archimede2014",0.00743395039008066,"kg","day","individual","Yes",NA,NA,"AOM_001254","Arachis hypogaea","livestock","% Diet;NA;individual",10,"% Diet NA individual",1.1791,"kg","original",FALSE,"Direct boiling DF 3.5%","no"
"67","AG0087","Direct boiling DF 3.5%","Antitoxins","Non-ERA Feed;from_pct_using_pred_archimede2014",0.000123796009826489,"kg","day","individual","Yes",NA,"Base","AOM_000782",NA,"livestock","% Diet;NA;individual",10,"% Diet NA individual",1.1791,"kg","original",FALSE,"Direct boiling DF 3.5%","no"
"68","AG0087","Direct boiling DF 3.5%","Lysine - HCl","Non-ERA Feed;from_pct_using_pred_archimede2014",6.18980049132445e-05,"kg","day","individual","Yes",NA,"Base","AOM_000740",NA,"livestock","% Diet;NA;individual",10,"% Diet NA individual",1.1791,"kg","original",FALSE,"Direct boiling DF 3.5%","no"
"69","AG0087","Direct boiling DF 3.5%","Dicalcium Phosphate","Non-ERA Feed;from_pct_using_pred_archimede2014",0.000154745012283111,"kg","day","individual","Yes",NA,"Base","AOM_000757",NA,"livestock","% Diet;NA;individual",10,"% Diet NA individual",1.1791,"kg","original",FALSE,"Direct boiling DF 3.5%","no"
"70","AG0087","Direct boiling DF 3.5%","Salt","Non-ERA Feed;from_pct_using_pred_archimede2014",0.000185694014739733,"kg","day","individual","Yes",NA,"Base","AOM_000772",NA,"livestock","% Diet;NA;individual",10,"% Diet NA individual",1.1791,"kg","original",TRUE,"Direct boiling DF 3.5%","no"
"71","AG0087","Direct boiling DF 3.5%","Wheat Bran","Crop Byproduct;from_pct_using_pred_archimede2014",0.011141640884384,"kg","day","individual","Yes",NA,"Base","AOM_000585","Triticum aestivum","livestock","% Diet;NA;individual",10,"% Diet NA individual",1.1791,"kg","original",FALSE,"Direct boiling DF 3.5%","no"
"72","AG0087","Direct boiling DF 3.5%","Mixture","Non-ERA Feed;from_pct_using_pred_archimede2014",6.18980049132445e-05,"kg","day","individual","Yes",NA,"Base","AOM_000795",NA,"livestock","% Diet;NA;individual",10,"% Diet NA individual",1.1791,"kg","original",FALSE,"Direct boiling DF 3.5%","no"
"73","AG0087","Direct boiling DF 3.5%","Sorghum Grain","Crop Product;from_pct_using_pred_archimede2014",0.033424922653152,"kg","day","individual","Yes",NA,NA,"AOM_000657","Sorghum bicolor","livestock","% Diet;NA;individual",10,"% Diet NA individual",1.1791,"kg","original",FALSE,"Direct boiling DF 3.5%","no"
"74","AG0087","Direct boiling DF 5%","Dicalcium Phosphate","Non-ERA Feed;from_pct_using_pred_archimede2014",0.000153776143091447,"kg","day","individual","Yes",NA,"Base","AOM_000757",NA,"livestock","% Diet;NA;individual",10,"% Diet NA individual",1.17054,"kg","original",FALSE,"Direct boiling DF 5%","no"
"75","AG0087","Direct boiling DF 5%","Sorghum Grain","Crop Product;from_pct_using_pred_archimede2014",0.0332156469077526,"kg","day","individual","Yes",NA,NA,"AOM_000657","Sorghum bicolor","livestock","% Diet;NA;individual",10,"% Diet NA individual",1.17054,"kg","original",FALSE,"Direct boiling DF 5%","no"
"76","AG0087","Direct boiling DF 5%","Groundnut Cake","Crop Byproduct;from_pct_using_pred_archimede2014",0.00738740591411313,"kg","day","individual","Yes",NA,NA,"AOM_001254","Arachis hypogaea","livestock","% Diet;NA;individual",10,"% Diet NA individual",1.17054,"kg","original",FALSE,"Direct boiling DF 5%","no"
"77","AG0087","Direct boiling DF 5%","Fish Boiled Ground","Animal;from_pct_using_pred_archimede2014",0.00307552286182895,"kg","day","individual","Yes",NA,NA,"AOM_001098",NA,"livestock","% Diet;NA;individual",10,"% Diet NA individual",1.17054,"kg","original",FALSE,"Direct boiling DF 5%","no"
"78","AG0087","Direct boiling DF 5%","Wheat Bran","Crop Byproduct;from_pct_using_pred_archimede2014",0.0110718823025842,"kg","day","individual","Yes",NA,"Base","AOM_000585","Triticum aestivum","livestock","% Diet;NA;individual",10,"% Diet NA individual",1.17054,"kg","original",FALSE,"Direct boiling DF 5%","no"
"79","AG0087","Direct boiling DF 5%","Salt","Non-ERA Feed;from_pct_using_pred_archimede2014",0.000184531371709737,"kg","day","individual","Yes",NA,"Base","AOM_000772",NA,"livestock","% Diet;NA;individual",10,"% Diet NA individual",1.17054,"kg","original",TRUE,"Direct boiling DF 5%","no"
"80","AG0087","Direct boiling DF 5%","Lysine - HCl","Non-ERA Feed;from_pct_using_pred_archimede2014",6.15104572365789e-05,"kg","day","individual","Yes",NA,"Base","AOM_000740",NA,"livestock","% Diet;NA;individual",10,"% Diet NA individual",1.17054,"kg","original",FALSE,"Direct boiling DF 5%","no"
"81","AG0087","Direct boiling DF 5%","Antitoxins","Non-ERA Feed;from_pct_using_pred_archimede2014",0.000123020914473158,"kg","day","individual","Yes",NA,"Base","AOM_000782",NA,"livestock","% Diet;NA;individual",10,"% Diet NA individual",1.17054,"kg","original",FALSE,"Direct boiling DF 5%","no"
"82","AG0087","Direct boiling DF 5%","Mixture","Non-ERA Feed;from_pct_using_pred_archimede2014",6.15104572365789e-05,"kg","day","individual","Yes",NA,"Base","AOM_000795",NA,"livestock","% Diet;NA;individual",10,"% Diet NA individual",1.17054,"kg","original",FALSE,"Direct boiling DF 5%","no"
"83","AG0087","Direct boiling DF 5%","Lime","Non-ERA Feed;from_pct_using_pred_archimede2014",0.00615104572365789,"kg","day","individual","Yes",NA,"Base","AOM_000760",NA,"livestock","% Diet;NA;individual",10,"% Diet NA individual",1.17054,"kg","original",FALSE,"Direct boiling DF 5%","no"
